"id","info_carrier","blattangabe","blattangabe_annotat","annotat_text","annotat_tei_xml","annotat_searchstring"
"AN_0001_000001","München, Bayerische Staatsbibliothek, Clm 3559","Einband","Einband vorne innen","hodie aut cras habeb(bo) R(espo)n#.su(m) It(em) cras apparent(ur) noua <zw>f(eria) 12</zw> 1452","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000001</id></teiHeader><text><body><p><w>hodie aut cras habeb(bo) R(espo)nſu(m) It(em) cras apparent(ur) noua </w><zw><w>f(eria) 12</w></zw><w> 1452</w></p></body></text></TEI>","hodie aut cras habebbo Responſum Item cras apparentur noua feria 12 1452"
"AN_0001_000002","München, Bayerische Staatsbibliothek, Clm 3559","","","It(em) #.si q(uis) h(abet) cor lupinu(m) os ouinu(m) pati(enti)a(m) jobitica(m) om(nium) i(n)imico(rum) <zw>#.suor(um)</zw> | d(omi)nabit(ur) et i(n) b(re)ui mirabilia (con)#.spiciet","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000002</id></teiHeader><text><body><p><w>It(em) ſi q(uis) h(abet) cor lupinu(m) os ouinu(m) pati(enti)a(m) jobitica(m) om(nium) i(n)imico(rum) </w><zw><w>ſuor(um)</w></zw><w> | d(omi)nabit(ur) et i(n) b(re)ui mirabilia (con)ſpiciet</w></p></body></text></TEI>","Item ſi quis habet cor lupinum os ouinum patientiam jobiticam omnium inimicorum ſuorum dominabitur et in breui mirabilia conſpiciet"
"AN_0001_000003","München, Bayerische Staatsbibliothek, Clm 3559","","","Di#.ses b#;ouch i#.st miner dochter Siwilla Radowerin n#;vach minem tod","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000003</id></teiHeader><text><body><p><w>Diſes bůch iſt miner dochter Siwilla Radowerin nǎch minem tod</w></p></body></text></TEI>","Diſes bůch iſt miner dochter Siwilla Radowerin nǎch minem tod"
"AN_0001_000004","München, Bayerische Staatsbibliothek, Clm 3559","2r–2v","2r","Verweis: . Senten(tie) hugon(is) de #.s(an)cto victore i(n) | q(ui)b(us)d(am) <ul>ps(almis)</ul> v(ir)t(utis) di(vi)n(is) (et) re(rum) naturis | vide albo codice #.spi#.s#.so arcus mod(us) jn | dida#.scalicon (et) alijs op(er)ib(us) <ul>hugon(is)</ul> a k(arta) | 147 <k><finis2><gb>(et)</gb></k> 153 <finis2>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000004</id></teiHeader><text><body><p><w>. Senten(tie) hugon(is) de ſ(an)cto victore i(n) | q(ui)b(us)d(am) </w><underline><w>ps(almis)</w></underline><w> v(ir)t(utis) di(vi)n(is) (et) re(rum) naturis | vide albo codice ſpiſſo arcus mod(us) jn | didaſcalicon (et) alijs op(er)ib(us) </w><underline><w>hugon(is)</w></underline><w> a k(arta) | 147 </w><k><finis-full/><gb><w>(et)</w></gb></k><w> 153 </w><finis-full/></p></body></text></TEI>",". Sententie hugonis de ſancto victore in quibusdam psalmis virtutis divinis et rerum naturis vide albo codice ſpiſſo arcus modus jn didaſcalicon et alijs operibus hugonis a karta 147 et 153"
"AN_0001_000005","München, Bayerische Staatsbibliothek, Clm 3559","3r–4v","","","",""
"AN_0001_000006","München, Bayerische Staatsbibliothek, Clm 3559","4v–5v","","","",""
"AN_0001_000007","München, Bayerische Staatsbibliothek, Clm 3559","5v–6v","6r","Verweis 1: #.s(cilicet) iu#.sticie facie(n)da <zw>u(e)l</zw> | illa et(er)na i(n)ui#.sibilia Et | #.se(quitur) u(er)#.su r(e)#.spo(n)#.sio (con)g(re)ga|tio(n)is fideliu(m) dic(e)nt(is) sig(na)tu(m) e(st) #.s(upe)r nos lum(en) wlt(us) tui d(omi)ne / q(uas)i dic(er)et Ratio | q(ue) in n(o)b(is) de wltu dei imp(ri)mi(tur) . ip(sa) e(st) q(ue) o(sti)ndet n(o)b(is) bona. (etc) Et hec e(st) lext na(tura)l(is) | duo h(abe)ns p(re)cepta p(rimum) negat(u)m #.s(cilicet) q(uo)d tibi | n(on) vis fi(er)j alteri ne fecer(is) / (secundum) affir(ma)|t(u)m #.s(cilicet) o(mn)ia q(ue)cunq(ue) wlt(is) vt faciant v(o)b(is) | ho(m)i(n)es vos ead(em) facite ill(is) . vide de hac | lege na(tura)li vide <add>in (quadragesimali)</add> #.s(er)mone 52 <ul>leonardi</ul> | de utino de a#.s#.su(m)p(tione) m(arie) #.s(upe)r <ul>luce</ul> 10 <ul>Ma|ria</ul> opti(mam) p(ar)te(m) elegit a k(arta) 304 <sig>Buchstabe B</sig>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000007</id></teiHeader><text><body><p><w>Verweis 1: ſ(cilicet) iuſticie facie(n)da </w><zw><w>u(e)l</w></zw><w> | illa et(er)na i(n)uiſibilia Et | ſe(quitur) u(er)ſu r(e)ſpo(n)ſio (con)g(re)ga|tio(n)is fideliu(m) dic(e)nt(is) sig(na)tu(m) e(st) ſ(upe)r nos lum(en) wlt(us) tui d(omi)ne / q(uas)i dic(er)et Ratio | q(ue) in n(o)b(is) de wltu dei imp(ri)mi(tur) . ip(sa) e(st) q(ue) o(sti)ndet n(o)b(is) bona. (etc) Et hec e(st) lext na(tura)l(is) | duo h(abe)ns p(re)cepta p(rimum) negat(u)m ſ(cilicet) q(uo)d tibi | n(on) vis fi(er)j alteri ne fecer(is) / (secundum) affir(ma)|t(u)m ſ(cilicet) o(mn)ia q(ue)cunq(ue) wlt(is) vt faciant v(o)b(is) | ho(m)i(n)es vos ead(em) facite ill(is) . vide de hac | lege na(tura)li vide </w><add><w>in (quadragesimali)</w></add><w> ſ(er)mone 52 </w><underline><w>leonardi</w></underline><w> | de utino de aſſu(m)p(tione) m(arie) ſ(upe)r </w><underline><w>luce</w></underline><w> 10 </w><underline><w>Ma|ria</w></underline><w> opti(mam) p(ar)te(m) elegit a k(arta) 304 </w><symbol type=""letter"" desc=""B""><w>B</w></symbol></p></body></text></TEI>","Verweis 1: ſcilicet iuſticie facienda uel illa eterna inuiſibilia Et ſequitur uerſu reſponſio congregationis fidelium dicentis signatum est ſuper nos lumen wltus tui domine / quasi diceret Ratio que in nobis de wltu dei imprimitur . ipsa est que ostindet nobis bona. etc Et hec est lext naturalis duo habens precepta primum negatum ſcilicet quod tibi non vis fierj alteri ne feceris / secundum affirmatum ſcilicet omnia quecunque wltis vt faciant vobis homines vos eadem facite illis . vide de hac lege naturali vide in quadragesimali ſermone 52 leonardi de utino de aſſumptione marie ſuper luce 10 Maria optimam partem elegit a karta 304 Buchstabe B"
"AN_0001_000008","München, Bayerische Staatsbibliothek, Clm 3559","","6r","Verweis 2: Et ibid(em) #.s(er)mone .42. f(er)ie 2(e) p(ost) palma(rum) <sig>Buchstabe C</sig> c(ir)ca me(di)u(m) colu(m)na 3(a) in fine a k(arta) .268. |","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000008</id></teiHeader><text><body><p><w>Verweis 2: Et ibid(em) ſ(er)mone .42. f(er)ie 2(e) p(ost) palma(rum) </w><symbol type=""letter"" desc=""C""><w>C</w></symbol><w> c(ir)ca me(di)u(m) colu(m)na 3(a) in fine a k(arta) .268. |</w></p></body></text></TEI>","Verweis 2: Et ibidem ſermone .42. ferie 2e post palmarum Buchstabe C circa medium columna 3a in fine a karta .268. "
"AN_0001_000009","München, Bayerische Staatsbibliothek, Clm 3559","","6r","Verweis 3: vide de wltu dei (id est) y(ma)gine rat(i)o(nis) n(ost)re | jn tabula theo(logie) vbi ymago in #.sceda (etc)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>AN_0001_000009</id></teiHeader><text><body><p><w>Verweis 3: vide de wltu dei (id est) y(ma)gine rat(i)o(nis) n(ost)re | jn tabula theo(logie) vbi ymago in ſceda (etc)</w></p></body></text></TEI>","Verweis 3: vide de wltu dei id est ymagine rationis nostre jn tabula theologie vbi ymago in ſceda etc"
"AN_0001_000010","München, Bayerische Staatsbibliothek, Clm 3559","6v–8v","","","",""
