"id","cognomen","relation_to_gsmb","gnd_id","gnd_id_alternate"
"P_A_0002","Sigmund Gossembrot","Textautor/in","103086838",""
"P_A_0003","Petrus Comestor","Textautor/in","118828851",""
"P_A_0004","Heinrich von Langenstein","Textautor/in","118548395",""
"P_A_0005","Innocentius III., Papst","Textautor/in","118555642",""
"P_A_0006","Cecco d’Ascoli","Textautor/in","118638270",""
"P_A_0007","Johannes Calderinus","Textautor/in","100948545",""
"P_A_0008","Paulus de Hungaria","Textautor/in","102516081",""
"P_A_0009","Bonaventura","Textautor/in","118513176",""
"P_A_0010","Johannes Gerson","Textautor/in","118557866",""
"P_A_0011","Gerhard von Vliederhofen","Textautor/in","118538616",""
"P_A_0012","Jacobus de Paradiso","Textautor/in","118556754",""
"P_A_0013","Johannes de Hisdinio","Textautor/in","10252985X","108934922X"
"P_A_0014","Sallust","Textautor/in","118605097",""
"P_A_0015","Sueton","Textautor/in","118619918",""
"P_A_0016","Guarino da Verona","Textautor/in","11869877X",""
"P_A_0017","Ps.-Vergil","Textautor/in","118626574",""
"P_A_0018","Petrus Heliae","Textautor/in","100945538",""
"P_A_0019","Jacobus de Voragine","Textautor/in","118556401",""
"P_A_0020","Ludwig Meisterlin","Textautor/in","136806961",""
"P_A_0021","Bartholomaeus Fuscus","Textautor/in","",""
"P_A_0022","Johannes Pruntregel","Textautor/in","1376480638",""
"P_A_0023","Hugo magister","Textautor/in","102421382",""
"P_A_0024","Eugenius IV., Papst","Textautor/in","118531328",""
"P_A_0025","Antoninus Florentinus","Textautor/in","118897489",""
"P_A_0026","Clemens V., Papst","Textautor/in","118723529",""
"P_A_0027","Bonaguida Aretinus","Textautor/in","102623392",""
"P_A_0028","Johannes de Deo","Textautor/in","100965083",""
"P_A_0029","Gratianus","Textautor/in","118541625",""
"P_A_0030","Johannes Nider","Textautor/in","119546477",""
"P_A_0031","Johannes Wideman","Textautor/in","1376480492",""
"P_A_0032","Lorenzo Valla","Textautor/in","118626000",""
"P_A_0033","Konrad Peutinger","Textautor/in","118740652",""
"P_A_0034","Laktanz","Textautor/in","118725831",""
"P_A_0035","Bernhard von Clairvaux","Textautor/in","118509810",""
"P_A_0036","Francesco Petrarca","Textautor/in","118593234",""
"P_A_0037","Maffeo Vegio","Textautor/in","100963757",""
"P_A_0038","Albrecht von Eyb","Textautor/in","118644378",""
"P_A_0039","Jakob Wimpfeling","Textautor/in","118769189",""
"P_A_0040","Venantius Fortunatus","Textautor/in","118767933",""
"P_A_0041","Andreas Capellanus","Textautor/in","118502905",""
"P_A_0042","Baptista Dionysius","Textautor/in","118526723",""
"P_A_0043","Giovanni Boccaccio","Textautor/in","11851217X",""
"P_A_0044","Dares Phrygius","Textautor/in","118678876",""
"P_A_0045","Sixtus IV., Papst","Textautor/in","118797476",""
"P_A_0046","Hildebert von Lavardin","Textautor/in","118704710",""
"P_A_0047","Petrus de Monte","Textautor/in","118583611",""
"P_A_0048","Georg von Podiebrad, König von Böhmen","Textautor/in","118690442",""
"P_A_0049","Protasius Boskowitz, Bischof von Olmütz","Textautor/in","139286748",""
"P_A_0050","Urbanus VI., Papst","Textautor/in","118625578",""
"P_A_0051","Johannes Hus","Textautor/in","118554948",""
"P_A_0052","Kasimir IV., König von Polen","Textautor/in","",""
"P_A_0053","Johannes Wyclif","Textautor/in","118632299",""
"P_A_0054","Arnoldus Royardus","Textautor/in","102423288",""
"P_A_0055","Wilhelm von Ockham","Textautor/in","118633015",""
"P_A_0056","Ludwig der Bayer, Kaiser","Textautor/in","118574957",""
"P_A_0057","Johannes Rokycana","Textautor/in","118943421",""
"P_A_0058","Johannes de Capestrano","Textautor/in","118712632",""
"P_A_0059","Stadt Straßburg","Textautor/in","",""
"P_A_0060","Calixtus III., Papst","Textautor/in","118518429",""
"P_A_0061","Ps.-Francesco Petrarca (Benevenutus de Imola)","Textautor/in","119092476",""
"P_A_0062","Collegium cardinalium","Textautor/in","",""
"P_A_0063","Hermannus Minorita","Textautor/in","102499810",""
"P_A_0064","Alexander von Roes","Textautor/in","118501895",""
"P_A_0065","Eduard III., König von England","Textautor/in","118687883",""
"P_A_0066","Friedrich de Saarwerden","Textautor/in","118535684",""
"P_A_0067","Wenzel IV., römisch-deutscher König","Textautor/in","118631349",""
"P_A_0068","Nicolaus de Lyra","Textautor/in","119238683",""
"P_A_0069","Wenzel von Krumau","Textautor/in","1033826340",""
"P_A_0070","Paulus II., Papst","Textautor/in","11923212X",""
"P_A_0071","Haimo von Auxerre","Textautor/in","100945260",""
"P_A_0072","Ambrosius von Mailand","Textautor/in","11850245X",""
"P_A_0073","Honorius Augustodunensis","Textautor/in","119066548",""
"P_A_0074","Johannes von Wales","Textautor/in","118884867",""
"P_A_0075","Thomas Ebendorfer","Textautor/in","118681516",""
"P_A_0076","Petrus Damiani","Textautor/in","118593331",""
"P_A_0077","Mechthild von Magdeburg","Textautor/in","118579797",""
"P_A_0078","Konrad Boner OFM","Textautor/in","137650264X",""
"P_A_0079","Johannes Schlitpacher","Textautor/in","100966446",""
"P_A_0080","Hermannus de Monster","Textautor/in","102500037",""
"P_A_0081","Silvester praepositus in Rebdorf","Textautor/in","103102884",""
"P_A_0082","Eutropius","Textautor/in","118682768",""
"P_A_0083","Galeotto Marzio","Textautor/in","104335882",""
"P_A_0084","Leonardo Bruni","Textautor/in","118516132",""
"P_A_0085","Henricus Septimellensis","Textautor/in","100945872",""
"P_A_0086","Frowin von Krakau","Textautor/in","100941699",""
"P_A_0087","Eberhard Vitz","Textautor/in","",""
"P_A_0088","Ps.-Cato","Textautor/in","11910699X",""
"P_A_0089","Hans Rosenplüt","Textautor/in","118791176","1329555317"
"P_A_0090","Hans Zukunft","Textautor/in","1147084556",""
"P_A_0091","Johannes Erhard Tüsch","Textautor/in","",""
"P_A_0092","Angelus medicus regis Angliae","Textautor/in","1122846843",""
"P_A_0093","Heinrich Renbold der Matzensüß","Textautor/in","1371482551",""
"P_A_0094","Thomas von Aquin","Textautor/in","118622110",""
"P_A_0095","Horaz","Textautor/in","118553569",""
"P_A_0096","Peter Luder","Textautor/in","119543044",""
"P_A_0097","Enea Silvio Piccolomini (Pius II., Papst)","Textautor/in","118594702",""
"P_A_0098","Konrad von Brundelsheim","Textautor/in","100939333",""
"P_A_0099","Nicolaus von Clémanges","Textautor/in","11954332X",""
"P_A_0100","Otto von Freising","Textautor/in","11902568X",""
"P_A_0101","Alanus Auriga","Textautor/in","118675664",""
"P_A_0102","Bonacursus de Montemagno","Textautor/in","104213817",""
"P_A_0103","Giovanni Aurispa","Textautor/in","100937047",""
"P_A_0104","Baptista Malatesta","Textautor/in","1013197267",""
"P_A_0105","Odoardus Brogogninus Estensis","Textautor/in","1377402584",""
"P_A_0106","Giovanni Pontano","Textautor/in","118833324",""
"P_A_0107","Poggio Bracciolini","Textautor/in","118741292",""
"P_A_0108","Leonhard Gessel","Textautor/in","103102906",""
"P_A_0109","Ps.-Bernhard von Clairvaux","Textautor/in","",""
"P_A_0110","Volpertus","Textautor/in","120134683",""
"P_A_0111","Vopiscus Bartholomaeus Scala","Textautor/in","118794795",""
"P_A_0112","Ps.-Cicero","Textautor/in","118520814",""
"P_A_0113","Heinrich von Mügeln","Textautor/in","118548417",""
"P_A_0114","Theobert von England","Textautor/in","",""
"P_A_0115","Dietrich von Zengg OFM","Textautor/in","10093997X",""
"P_A_0116","Mönch von Salzburg","Textautor/in","11854974X",""
"P_A_0117","Ulrich Boner","Textautor/in","118661418",""
"P_A_0118","Elsässischer Anonymus","Textautor/in","102571155",""
"P_A_0119","Heinrich der Teichner","Textautor/in","118548158",""
"P_A_0120","Stricker","Textautor/in","118619284",""
"P_A_0121","Freidank","Textautor/in","118535188",""
"P_A_0122","Ps.-Frauenlob","Textautor/in","",""
"P_A_0123","Cato","Textautor/in","118519697",""
"P_A_0124","Nicolaus Terencensis","Textautor/in","",""
"P_A_0125","Macrobius","Textautor/in","118640763",""
"P_A_0126","Heinrich von Friemar","Textautor/in","118548379",""
"P_A_0127","Matthäus von Krakau","Textautor/in","118731823",""
"P_A_0128","Ps.-Johannes de Garlandia","Textautor/in","",""
"P_A_0129","Johannes von Kastl","Textautor/in","118712659",""
"P_A_0130","Nikolaus von Dinkelsbühl","Textautor/in","11921587X",""
"P_A_0131","Ps.-Albertus Magnus","Textautor/in","118637649",""
"P_A_0132","Johannes de Capua","Textautor/in","118935607",""
"P_A_0133","Albertanus von Brescia","Textautor/in","11904059X",""
"P_A_0134","Antonio Barzizza","Textautor/in","1154884554",""
"P_A_0135","Ps.-Johannes Andreae","Textautor/in","",""
"P_A_0136","Giovanni Fanconi","Textautor/in","",""
"P_A_0137","Ps.-Francesco Petrarca","Textautor/in","118593234",""
"P_A_0138","Antonio Rampegolo","Textautor/in","100968880",""
"P_A_0139","Albertus Magnus","Textautor/in","118637649",""
"P_A_0140","Marquard von Lindau","Textautor/in","118578081",""
"P_A_0141","Heinrich Seuse","Textautor/in","118613510",""
"P_A_0142","Heinrich von St. Gallen","Textautor/in","118709879",""
"P_A_0143","Hugo de Prato Florido","Textautor/in","100946488",""
"P_A_0144","Anonym","Textautor/in","",""
"P_A_0145","Eucherius Lugdunensis","Textautor/in","118682547",""
"P_A_0146","Aegidius Romanus","Textautor/in","118500805",""
