"id","car_id","text_id","abschnitt","sort_in_car","page_id","wortlaut","wortlaut_tei_xml","wortlaut_searchstring","is_target","is_source","insecurity","position_on_page","insecure_page","lost","is_fragment","non_habes","belegstelle_text","alternative_page","missing_comment","annotat"
"BEL_t__1r_$0","","","","","","Vide vita(m) B(ea)te katherine jn met(ro) <k>pitr<gb>poetico</gb></k> multu(m) eleganti p(ro)#.sa ad mixta | jn #.sext(er)nis text(us) mo(dus) Et jta jncipit. Floruit jn#.sign(is) in partib(us) vrbs orient(is)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_z_0026_000001</id><refsDecl><biblStruct><monogr><title>München, Bayerische Staatsbibliothek, Clm 26346</title><description>1r</description></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>Vide vita(m) B(ea)te katherine jn met(ro) </w><k><w>pitr</w><gb><w>poetico</w></gb></k><w> multu(m) eleganti p(ro)ſa ad mixta | jn ſext(er)nis text(us) mo(dus) Et jta jncipit. Floruit jnſign(is) in partib(us) vrbs orient(is)</w></p></body></text></TEI>","Vide vitam Beate katherine jn metro pitr poetico multum eleganti proſa ad mixta jn ſexternis textus modus Et jta jncipit. Floruit jnſignis in partibus vrbs orientis","1","0","0","","0","0","0","0","1r","","",""
"BEL_s_TR_A_0001_2r_$0","TR_A_0001","TX_A0001_000002","","4","22_1_Ps1Beatusuirquinonabiit_6_Bl2r",". Senten(tie) hugon(is) de #.s(an)cto victore i(n) | q(ui)b(us)d(am) <ul>ps(almis)</ul> v(ir)t(utis) di(vi)n(is) (et) re(rum) naturis | vide albo codice #.spi#.s#.so arcus mod(us) jn | dida#.scalicon (et) alijs op(er)ib(us) <ul>hugon(is)</ul> a k(arta) | 147 <k><finis2><gb>(et)</gb></k> 153 <finis2>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_z_0022_000018</id><refsDecl><biblStruct><monogr><title>München, Bayerische Staatsbibliothek, Clm 17836</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>. Senten(tie) hugon(is) de ſ(an)cto victore i(n) | q(ui)b(us)d(am) </w><underline><w>ps(almis)</w></underline><w> v(ir)t(utis) di(vi)n(is) (et) re(rum) naturis | vide albo codice ſpiſſo arcus mod(us) jn | didaſcalicon (et) alijs op(er)ib(us) </w><underline><w>hugon(is)</w></underline><w> a k(arta) | 147 </w><k><finis-full/><gb><w>(et)</w></gb></k><w> 153 </w><finis-full/></p></body></text></TEI>",". Sententie hugonis de ſancto victore in quibusdam psalmis virtutis divinis et rerum naturis vide albo codice ſpiſſo arcus modus jn didaſcalicon et alijs operibus hugonis a karta 147 et 153","0","1","0","","0","0","0","0","2r","","","AN_0001_000004"
"BEL_s_TR_A_0001_6r_$2","TR_A_0001","TX_A0001_000005","","7","22_4_Ps4CvminuocaremexaudiuitmeDeus_14_Bl6r","#.s(cilicet) iu#.sticie facie(n)da <zw>u(e)l</zw> | illa et(er)na i(n)ui#.sibilia Et | #.se(quitur) u(er)#.su r(e)#.spo(n)#.sio (con)g(re)ga|tio(n)is fideliu(m) dic(e)nt(is) sig(na)tu(m) e(st) #.s(upe)r nos lum(en) wlt(us) tui d(omi)ne / q(uas)i dic(er)et Ratio | q(ue) in n(o)b(is) de wltu dei imp(ri)mi(tur) . ip(sa) e(st) q(ue) o(sti)ndet n(o)b(is) bona. (etc) Et hec e(st) lext na(tura)l(is) | duo h(abe)ns p(re)cepta p(rimum) negat(u)m #.s(cilicet) q(uo)d tibi | n(on) vis fi(er)j alteri ne fecer(is) / (secundum) affir(ma)|t(u)m #.s(cilicet) o(mn)ia q(ue)cunq(ue) wlt(is) vt faciant v(o)b(is) | ho(m)i(n)es vos ead(em) facite ill(is) . vide de hac | lege na(tura)li vide <add>in (quadragesimali)</add> #.s(er)mone 52 <ul>leonardi</ul> | de utino de a#.s#.su(m)p(tione) m(arie) #.s(upe)r <ul>luce</ul> 10 <ul>Ma|ria</ul> opti(mam) p(ar)te(m) elegit a k(arta) 304 <sig>Buchstabe B</sig>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_d_0194_000004</id><refsDecl><biblStruct><monogr><title>Leonardus de Utino: Sermones quadragesimales de legibus</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>ſ(cilicet) iuſticie facie(n)da </w><zw><w>u(e)l</w></zw><w> | illa et(er)na i(n)uiſibilia Et | ſe(quitur) u(er)ſu r(e)ſpo(n)ſio (con)g(re)ga|tio(n)is fideliu(m) dic(e)nt(is) sig(na)tu(m) e(st) ſ(upe)r nos lum(en) wlt(us) tui d(omi)ne / q(uas)i dic(er)et Ratio | q(ue) in n(o)b(is) de wltu dei imp(ri)mi(tur) . ip(sa) e(st) q(ue) o(sti)ndet n(o)b(is) bona. (etc) Et hec e(st) lext na(tura)l(is) | duo h(abe)ns p(re)cepta p(rimum) negat(u)m ſ(cilicet) q(uo)d tibi | n(on) vis fi(er)j alteri ne fecer(is) / (secundum) affir(ma)|t(u)m ſ(cilicet) o(mn)ia q(ue)cunq(ue) wlt(is) vt faciant v(o)b(is) | ho(m)i(n)es vos ead(em) facite ill(is) . vide de hac | lege na(tura)li vide </w><add><w>in (quadragesimali)</w></add><w> ſ(er)mone 52 </w><underline><w>leonardi</w></underline><w> | de utino de aſſu(m)p(tione) m(arie) ſ(upe)r </w><underline><w>luce</w></underline><w> 10 </w><underline><w>Ma|ria</w></underline><w> opti(mam) p(ar)te(m) elegit a k(arta) 304 </w><symbol type=""letter"" desc=""B""><w>B</w></symbol></p></body></text></TEI>","ſcilicet iuſticie facienda uel illa eterna inuiſibilia Et ſequitur uerſu reſponſio congregationis fidelium dicentis signatum est ſuper nos lumen wltus tui domine / quasi diceret Ratio que in nobis de wltu dei imprimitur . ipsa est que ostindet nobis bona. etc Et hec est lext naturalis duo habens precepta primum negatum ſcilicet quod tibi non vis fierj alteri ne feceris / secundum affirmatum ſcilicet omnia quecunque wltis vt faciant vobis homines vos eadem facite illis . vide de hac lege naturali vide in quadragesimali ſermone 52 leonardi de utino de aſſumptione marie ſuper luce 10 Maria optimam partem elegit a karta 304 Buchstabe B","0","1","0","","0","0","0","0","6r","","","AN_0001_000007"
"BEL_s_TR_A_0001_6r_$1","TR_A_0001","TX_A0001_000005","","8","22_4_Ps4CvminuocaremexaudiuitmeDeus_14_Bl6r","Et ibid(em) #.s(er)mone .42. f(er)ie 2(e) p(ost) palma(rum) <sig>Buchstabe C</sig> c(ir)ca me(di)u(m) colu(m)na 3(a) in fine a k(arta) .268. |","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_d_0194_000002</id><refsDecl><biblStruct><monogr><title>Leonardus de Utino: Sermones quadragesimales de legibus</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>Et ibid(em) ſ(er)mone .42. f(er)ie 2(e) p(ost) palma(rum) </w><symbol type=""letter"" desc=""C""><w>C</w></symbol><w> c(ir)ca me(di)u(m) colu(m)na 3(a) in fine a k(arta) .268. |</w></p></body></text></TEI>","Et ibidem ſermone .42. ferie 2e post palmarum Buchstabe C circa medium columna 3a in fine a karta .268. ","0","1","0","","0","0","0","0","6r","","","AN_0001_000008"
"BEL_s_TR_A_0001_6r_$0","TR_A_0001","TX_A0001_000005","","9","22_4_Ps4CvminuocaremexaudiuitmeDeus_14_Bl6r","vide de wltu dei (id est) y(ma)gine rat(i)o(nis) n(ost)re | jn tabula theo(logie) vbi ymago in #.sceda (etc)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_x_0075_000011</id><refsDecl><biblStruct><monogr><title>Tabula theologiae</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>vide de wltu dei (id est) y(ma)gine rat(i)o(nis) n(ost)re | jn tabula theo(logie) vbi ymago in ſceda (etc)</w></p></body></text></TEI>","vide de wltu dei id est ymagine rationis nostre jn tabula theologie vbi ymago in ſceda etc","0","1","0","","0","0","0","0","6r","","","AN_0001_000009"
"BEL_s_TR_A_0001_24r_$1","TR_A_0001","TX_A0001_000015","","19","22_14_Ps14Dominequishabitabitintabernaculotuo_52_Bl24r","Et #.si q(uid) ibi omi#.s#.su(m) decla(ra)t(i)o(nis) vide | leui(tici) 19 .q(ue) ep(isto)la le(gitur) f(eria) 4(a) p(ost) judica . /","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_k_0071_000052</id><refsDecl><biblStruct><monogr><title>Biblia</title><description>Leviticus 19</description></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>Et ſi q(uid) ibi omiſſu(m) decla(ra)t(i)o(nis) vide | leui(tici) 19 .q(ue) ep(isto)la le(gitur) f(eria) 4(a) p(ost) judica . /</w></p></body></text></TEI>","Et ſi quid ibi omiſſum declarationis vide leuitici 19 .que epistola legitur feria 4a post judica . /","0","1","0","","0","0","0","0","24r","","","AN_0001_000019"
"BEL_s_TR_A_0001_24r_$0","TR_A_0001","TX_A0001_000015","","20","22_14_Ps14Dominequishabitabitintabernaculotuo_52_Bl24r","(et) h(ic) p(ostea) ps(almum) .23. d(omini) e(st) t(er)ra . (etc)","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_z_0002_000002</id><refsDecl><biblStruct><monogr><title>München, Bayerische Staatsbibliothek, Clm 3559</title><description>46v</description></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>(et) h(ic) p(ostea) ps(almum) .23. d(omini) e(st) t(er)ra . (etc)</w></p></body></text></TEI>","et hic postea psalmum .23. domini est terra . etc","0","1","0","","0","0","0","0","24r","","","AN_0001_000020"
"BEL_s_TR_A_0001_24r_$2","TR_A_0001","TX_A0001_000015","","21","22_14_Ps14Dominequishabitabitintabernaculotuo_52_Bl24r","Et jh(er)e(mie) .7. | f(erie) 5(e) p(ost) oculi . f(a)ct(um) e#.st v(eru)m d(omi)ni <finis 1>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_k_0071_000061</id><refsDecl><biblStruct><monogr><title>Biblia</title><description>Jheremias 7</description></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>Et jh(er)e(mie) .7. | f(erie) 5(e) p(ost) oculi . f(a)ct(um) eſt v(eru)m d(omi)ni </w><finis/></p></body></text></TEI>","Et jheremie .7. ferie 5e post oculi . factum eſt verum domini","0","1","0","","0","0","0","0","24r","","","AN_0001_000021"
"BEL_s_TR_A_0001_41r_$0","TR_A_0001","TX_A0001_000022","","28","22_21_Ps21Deusdeusmeusrespiceinme_86_Bl41r","Verweis: Jn expo#.sit(i)o(nem) h(uius) ps(almo) vide i(n) codice | ho(rarum) canonicaliu(m) . d(omi)nica palma(rum) | p(ri)m(is) in lectionib(us) a k(arta) .124 (et) vi-|den(tur) Augu#.stini <finis 1> <add>vbi p(er) die(m) #.sole(m) adduc(it).</add>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_x_0079_000003</id><refsDecl><biblStruct><monogr><title>Horae canonicae</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>Jn expoſit(i)o(nem) h(uius) ps(almo) vide i(n) codice | ho(rarum) canonicaliu(m) . d(omi)nica palma(rum) | p(ri)m(is) in lectionib(us) a k(arta) .124 (et) vi-|den(tur) Auguſtini </w><finis/><add><w>vbi p(er) die(m) ſole(m) adduc(it).</w></add></p></body></text></TEI>","Jn expoſitionem huius psalmo vide in codice horarum canonicalium . dominica palmarum primis in lectionibus a karta .124 et vi-dentur Auguſtini vbi per diem ſolem adducit.","0","1","0","","0","0","0","0","41r","","","AN_0001_000028"
"BEL_s_TR_A_0001_42v_$0","TR_A_0001","TX_A0001_000022","","29","22_21_Ps21Deusdeusmeusrespiceinme_89_Bl42v","Expo#.sit(i)o(nem) morale(m) ad om(nem) m(un)di #.statu(m) | vide jacobu(m) de uoragine d(ominica) inf(ra) n(a)ti(vi)-|tatem d(omi)ni luce .2. a k(arta) .36. <sig>Buchstabe F</sig> <finis2>","<TEI xmlns=""http://www.tei-c.org/ns/1.0""><teiHeader><id>VER_d_0192_000001</id><refsDecl><biblStruct><monogr><title>Jacobus de Voragine: Sermones</title><description/></monogr></biblStruct></refsDecl></teiHeader><text><body><p><w>Expoſit(i)o(nem) morale(m) ad om(nem) m(un)di ſtatu(m) | vide jacobu(m) de uoragine d(ominica) inf(ra) n(a)ti(vi)-|tatem d(omi)ni luce .2. a k(arta) .36. </w><symbol type=""letter"" desc=""F""><w>F</w></symbol><finis-full/></p></body></text></TEI>","Expoſitionem moralem ad omnem mundi ſtatum vide jacobum de uoragine dominica infra nativi-tatem domini luce .2. a karta .36. Buchstabe F","0","1","0","","0","0","0","0","42v","","","AN_0001_000029"
