"id","car_id","sort_in_car","title","author_id","is_lost","text_range","incipit","additional_source","is_author_insecure","first_page_id"
"TX_A0001_000001","TR_A_0001","1","Einband ","","0","","","","0","22_0_Einleitung_1_Einbandvorneinnen"
"TX_A0001_000002","TR_A_0001","2","Ps 1 (Beatus uir qui non abiit)","","0","2r–2v","","","0","22_1_Ps1Beatusuirquinonabiit_6_Bl2r"
"TX_A0001_000003","TR_A_0001","3","Ps 2 (Qvare fremuerunt gentes)","","0","3r–4v","","","0","22_2_Ps2Qvarefremueruntgentes_8_Bl3r"
"TX_A0001_000004","TR_A_0001","4","Ps 3 (Domine quid multiplicati sunt)","","0","4v–5v","","","0","22_3_Ps3Dominequidmultiplicatisunt_11_Bl4v"
"TX_A0001_000005","TR_A_0001","5","Ps 4 (Cvm inuocarem exaudiuit me Deus)","","0","5v–6v","","","0","22_4_Ps4CvminuocaremexaudiuitmeDeus_13_Bl5v"
"TX_A0001_000006","TR_A_0001","6","Ps 5 (Uerba mea auribus percipe Domine)","","0","6v–8v","","","0","22_5_Ps5UerbameaauribuspercipeDomine_15_Bl6v"
"TX_A0001_000007","TR_A_0001","7","Ps 6 (Domine ne in furore tuo arguas me)","","0","8v–10r","","","0","22_6_Ps6Domineneinfuroretuoarguasme_19_Bl8v"
"TX_A0001_000008","TR_A_0001","8","Ps 7 (Domine deus meus in te speraui)","","0","10r–12v","","","0","22_7_Ps7Dominedeusmeusintesperaui_24_Bl10r"
"TX_A0001_000009","TR_A_0001","9","Ps 8 (Domine dominus noster)","","0","12v–13v","","","0","22_8_Ps8Dominedominusnoster_29_Bl12v"
"TX_A0001_000010","TR_A_0001","10","Ps 9 (Confitebor tibi domine in toto corde meo)","","0","13v–19r","","","0","22_9_Ps9Confitebortibidomineintotocordemeo_31_Bl13v"
"TX_A0001_000011","TR_A_0001","11","Ps 10 (In domino confido)","","0","19r–20r","","","0","22_10_Ps10Indominoconfido_42_Bl19r"
"TX_A0001_000012","TR_A_0001","12","Ps 11 (Saluum me fac domine)","","0","20r–21r","","","0","22_11_Ps11Saluummefacdomine_44_Bl20r"
"TX_A0001_000013","TR_A_0001","13","Ps 12 (Usquequo dominne obliuisceris me)","","0","21r–22r","","","0","22_12_Ps12Usquequodominneobliuiscerisme_46_Bl21r"
"TX_A0001_000014","TR_A_0001","14","Ps 13 (Dixit insipiens in corde suo)","","0","22r–23v","","","0","22_13_Ps13Dixitinsipiensincordesuo_48_Bl22r"
"TX_A0001_000015","TR_A_0001","15","Ps 14 (Domine quis habitabit in tabernaculo tuo)","","0","24r–24v","","","0","22_14_Ps14Dominequishabitabitintabernaculotuo_52_Bl24r"
"TX_A0001_000016","TR_A_0001","16","Ps 15 (Conserua me domine)","","0","24v–26r","","","0","22_15_Ps15Conseruamedomine_53_Bl24v"
"TX_A0001_000017","TR_A_0001","17","Ps 16 (Exaudi comine iusticiam meam)","","0","26r–28v","","","0","22_16_Ps16Exaudicomineiusticiammeam_56_Bl26r"
"TX_A0001_000018","TR_A_0001","18","Ps 17 (Diligam te domine fortitudo mea)","","0","28v–35v","","","0","22_17_Ps17Diligamtedominefortitudomea_61_Bl28v"
"TX_A0001_000019","TR_A_0001","19","Ps 18 (Celi enarrant gloriam dei)","","0","35v–37v","","","0","22_18_Ps18Celienarrantgloriamdei_75_Bl35v"
"TX_A0001_000020","TR_A_0001","20","Ps 19 (Exaudiat te dominus in die tribulationis)","","0","37v–39r","","","0","22_19_Ps19Exaudiattedominusindietribulationis_79_Bl37v"
"TX_A0001_000021","TR_A_0001","21","Ps 20 (Domine in uirtute tua letabitur rex)","","0","39r–40v","","","0","22_20_Ps20Domineinuirtutetualetabiturrex_82_Bl39r"
"TX_A0001_000022","TR_A_0001","22","Ps 21 (Deus deus meus respice in me)","","0","40v–45r","","","0","22_21_Ps21Deusdeusmeusrespiceinme_85_Bl40v"
"TX_A0001_000023","TR_A_0001","23","Ps 22 (Dominus reget me et nihil mihi deerit)","","0","45r–46v","","","0","22_22_Ps22Dominusregetmeetnihilmihideerit_94_Bl45r"
"TX_A0001_000024","TR_A_0001","24","Ps 23 (Domini est terra et plenitudo eius)","","0","46v–48r","","","0","22_23_Ps23Dominiestterraetplenitudoeius_97_Bl46v"
