"id","car_id","benennung","source"
"BG_0001","TR_A_0002","Scholastica historia","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 13v"
"BG_0002","TR_A_0005","Codex citrinus textus modus Sallustii","Wien, Österreichische Nationalbibliothek, Cod. 3214, Bl. 1r"
"BG_0003","TR_A_0007","Jacobus de Voragine De laudibus beatae virginis","München, Bayerische Staatsbibliothek, Clm 17848, Bl. 117r"
"BG_0004","TR_A_0009","Elegantiae Vallae","Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 69.11 Aug. 2°, Bl. 254r"
"BG_0005","TR_A_0011","Lactantius citrinus","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 63v"
"BG_0006","TR_A_0012","Boccaccio De casibus virorum illustrium","Augsburg, Staats- und Stadtbibliothek, 2° Cod. 217, Bl. 175v [alt 255v]"
"BG_0007","TR_A_0014","Codex albus arcus modus Simboli apostolorum","Gotha, Forschungsbibliothek, Chart. B 61, Bl. 376v"
"BG_0008","TR_A_0015","Exameron Ambrosii codex fuscus","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 20vb"
"BG_0009","TR_A_0015","Haimon Super apocalypsim","München, Bayerische Staatsbibliothek, Clm 17830, Bl. 108r"
"BG_0010","TR_A_0017","Codex citrinus textus modus","München, Bayerische Staatsbibliothek, Clm 17833, Bl. 251"
"BG_0011","TR_A_0017","Chronica Eutropii","München, Bayerische Staatsbibliothek, Clm 17833, Bl. 259va"
"BG_0012","TR_A_0019","Codex russus textus modus operum Horatii","München, Bayerische Staatsbibliothek, Clm 17833, Bl. 205ar"
"BG_0013","TR_A_0021","Ysopus vulgaris depictus","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 18v"
"BG_0014","TR_A_0022","Liber albus spissus confessionalis textus modus","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 14r"
"BG_0015","TR_A_0023","Codex fuscus historiae Dymne et Kelile","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 79v"
"BG_0016","TR_A_0023","Codex citrinus antiquarum parabolarum Dymne","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 103v"
"BG_0017","TR_A_0024","Aurea biblia","München, Bayerische Staatsbibliothek, Clm 3941, Bl. 197r"
"BG_0018","TR_A_0027","Hugo de Prato","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 11v"
"BG_0019","TR_A_0029","Egidius De regimine principum","Gotha, Forschungsbibliothek, Chart. B 61, Bl. 255v"
"BG_0020","TR_A_0030","Albus codex spissus arcus modus in Didascalicon et aliis operibus","München, Bayerische Staatsbibliothek, Clm 3559, Bl. 2r"
"BG_0021","TR_A_0030","Niger Codex … ubi Didascalicon et Breviloquium est Hugonis [!]","München, Bayerische Staatsbibliothek, Clm 17837, Bl. 2r"
"BG_0022","TR_A_0031","Speculum virginum","München, Bayerische Staatsbibliothek, Clm 27419, Bl. 40r"
"BG_0023","TR_A_0032","Albus codex de commenda artium","Heidelberg, Universitätsbibliothek, Cod. Pal. germ. 314, Bl. 79r"
"BG_0024","TR_A_0034","Liber russus Guidonis de Monte Roterij","Basel, Universitätsbibliothek, O I 10, Bl. 274v"
"BG_0025","TR_A_0035","Gerson in suo codice","München, Bayerische Staatsbibliothek, Clm 17830, Bl. 402v"
