"id","src_car","src_text","src_belegstelle","target_car","target_text","target_belegstelle","type","insecurity","general_insecurity","bemerkungen","file_name"
"VER_z_0001_000001","TR_A_0032","TX_A0032_000003","BEL_s_TR_A_0032_13v_$0","TR_A_0002","TX_A0002_000004","BEL_t_TR_A_0002_13v_$0","0","0","0","","z_Mue_BSB_Clm_17834"
"VER_z_0001_000002","TR_A_0002","TX_A0002_000003","BEL_s_TR_A_0002_Vrbr_V_b_$0","TR_A_0002","TX_A0002_000004","BEL_t_TR_A_0002_106v_a_$0","0","0","0","Interner Verweis","z_Mue_BSB_Clm_17834"
"VER_z_0001_000003","TR_A_0002","TX_A0002_000004","BEL_s_TR_A_0002_115r_b_$0","TR_A_0002","TX_A0002_000004","BEL_t_TR_A_0002_106v_a_$0","0","0","0","Interner Verweis","z_Mue_BSB_Clm_17834"
"VER_z_0001_000004","TR_A_0002","TX_A0002_000004","BEL_s_TR_A_0002_129r_b_$0","TR_A_0002","TX_A0002_000004","BEL_t_TR_A_0002_106v_b_$0","0","0","0","Interner Verweis","z_Mue_BSB_Clm_17834"
"VER_z_0001_000005","TR_A_0002","TX_A0002_000004","BEL_s_TR_A_0002_146r_a_$0","TR_A_0002","TX_A0002_000004","BEL_t_TR_A_0002_107r_a_$0","0","0","0","Interner Verweis","z_Mue_BSB_Clm_17834"
"VER_z_0001_000006","TR_A_0002","TX_A0002_000004","BEL_s_TR_A_0002_179v_b_$0","TR_A_0002","TX_A0002_000004","BEL_t_TR_A_0002_107v_a_$0","0","0","0","Interner Verweis","z_Mue_BSB_Clm_17834"
"VER_z_0001_000007","TR_A_0002","TX_A0002_000004","BEL_s_TR_A_0002_218v_b_$0","TR_A_0002","TX_A0002_000004","BEL_t_TR_A_0002_108r_a_$0","0","0","0","Interner Verweis","z_Mue_BSB_Clm_17834"
"VER_z_0001_000008","TR_A_0002","TX_A0002_000004","BEL_s_TR_A_0002_227r_b_$0","TR_A_0002","TX_A0002_000004","BEL_t_TR_A_0002_108r_a_$0","0","0","0","Interner Verweis","z_Mue_BSB_Clm_17834"
"VER_z_0001_000009","TR_A_0002","TX_A0002_000004","BEL_s_TR_A_0002_241v_b_$0","TR_A_0002","TX_A0002_000004","BEL_t_TR_A_0002_108r_b_$0","0","0","0","Interner Verweis","z_Mue_BSB_Clm_17834"
"VER_z_0001_000010","TR_A_0002","TX_A0002_000004","BEL_s_TR_A_0002_236v_b_$0","TR_A_0002","TX_A0002_000004","BEL_t_TR_A_0002_252r_a_$0","0","0","0","Interner Verweis","z_Mue_BSB_Clm_17834"
